generation,name,type_1,type_2,rarity,stage,shape,color,total_stats,height,weight
1,bulbasaur,grass,poison,regular,s1c3,quadruped,green,318,0.7,6.9
1,ivysaur,grass,poison,regular,s2c3,quadruped,green,405,1.0,13.0
1,venusaur,grass,poison,regular,s3c3,quadruped,green,525,2.0,100.0
1,charmander,fire,,regular,s1c3,upright,red,309,0.6,8.5
1,charmeleon,fire,,regular,s2c3,upright,red,405,1.1,19.0
1,charizard,fire,flying,regular,s3c3,upright,red,534,1.7,90.5
1,squirtle,water,,regular,s1c3,upright,blue,314,0.5,9.0
1,wartortle,water,,regular,s2c3,upright,blue,405,1.0,22.5
1,blastoise,water,,regular,s3c3,upright,blue,530,1.6,85.5
1,caterpie,bug,,regular,s1c3,armor,green,195,0.3,2.9
1,metapod,bug,,regular,s2c3,squiggle,green,205,0.7,9.9
1,butterfree,bug,flying,regular,s3c3,bug-wings,white,395,1.1,32.0
1,weedle,bug,poison,regular,s1c3,armor,brown,195,0.3,3.2
1,kakuna,bug,poison,regular,s2c3,squiggle,yellow,205,0.6,10.0
1,beedrill,bug,poison,regular,s3c3,bug-wings,yellow,395,1.0,29.5
1,pidgey,normal,flying,regular,s1c3,wings,brown,251,0.3,1.8
1,pidgeotto,normal,flying,regular,s2c3,wings,brown,349,1.1,30.0
1,pidgeot,normal,flying,regular,s3c3,wings,brown,479,1.5,39.5
1,rattata,normal,,regular,s1c2,quadruped,purple,253,0.3,3.5
1,raticate,normal,,regular,s2c2,quadruped,brown,413,0.7,18.5
1,spearow,normal,flying,regular,s1c2,wings,brown,262,0.3,2.0
1,fearow,normal,flying,regular,s2c2,wings,brown,442,1.2,38.0
1,ekans,poison,,regular,s1c2,squiggle,purple,288,2.0,6.9
1,arbok,poison,,regular,s2c2,squiggle,purple,448,3.5,65.0
1,pikachu,electric,,regular,s2c3,quadruped,yellow,320,0.4,6.0
1,raichu,electric,,regular,s3c3,upright,yellow,485,0.8,30.0
1,sandshrew,ground,,regular,s1c2,upright,yellow,300,0.6,12.0
1,sandslash,ground,,regular,s2c2,upright,yellow,450,1.0,29.5
1,nidoran_f,poison,,regular,single,quadruped,blue,275,0.4,7.0
1,nidorina,poison,,regular,s2c3,quadruped,blue,365,0.8,20.0
1,nidoqueen,poison,ground,regular,s3c3,upright,blue,505,1.3,60.0
1,nidoran_m,poison,,regular,single,quadruped,purple,273,0.5,9.0
1,nidorino,poison,,regular,s2c3,quadruped,purple,365,0.9,19.5
1,nidoking,poison,ground,regular,s3c3,upright,purple,505,1.4,62.0
1,clefairy,fairy,,regular,s2c3,upright,pink,323,0.6,7.5
1,clefable,fairy,,regular,s3c3,upright,pink,483,1.3,40.0
1,vulpix,fire,,regular,s1c2,quadruped,brown,299,0.6,9.9
1,ninetales,fire,,regular,s2c2,quadruped,yellow,505,1.1,19.9
1,jigglypuff,normal,fairy,regular,s2c3,humanoid,pink,270,0.5,5.5
1,wigglytuff,normal,fairy,regular,s3c3,humanoid,pink,435,1.0,12.0
1,zubat,poison,flying,regular,s1c3,wings,purple,245,0.8,7.5
1,golbat,poison,flying,regular,s2c3,wings,purple,455,1.6,55.0
1,oddish,grass,poison,regular,s1c3,legs,blue,320,0.5,5.4
1,gloom,grass,poison,regular,s2c3,humanoid,blue,395,0.8,8.6
1,vileplume,grass,poison,regular,s3c3,humanoid,red,490,1.2,18.6
1,paras,bug,grass,regular,s1c2,armor,red,285,0.3,5.4
1,parasect,bug,grass,regular,s2c2,armor,red,405,1.0,29.5
1,venonat,bug,poison,regular,s1c2,humanoid,purple,305,1.0,30.0
1,venomoth,bug,poison,regular,s2c2,bug-wings,purple,450,1.5,12.5
1,diglett,ground,,regular,s1c2,blob,brown,265,0.2,0.8
1,dugtrio,ground,,regular,s2c2,heads,brown,425,0.7,33.3
1,meowth,normal,,regular,s1c2,quadruped,yellow,290,0.4,4.2
1,persian,normal,,regular,s2c2,quadruped,yellow,440,1.0,32.0
1,psyduck,water,,regular,s1c2,upright,yellow,320,0.8,19.6
1,golduck,water,,regular,s2c2,upright,blue,500,1.7,76.6
1,mankey,fighting,,regular,s1c3,upright,brown,305,0.5,28.0
1,primeape,fighting,,regular,s2c3,upright,brown,455,1.0,32.0
1,growlithe,fire,,regular,s1c2,quadruped,brown,350,0.7,19.0
1,arcanine,fire,,regular,s2c2,quadruped,brown,555,1.9,155.0
1,poliwag,water,,regular,s1c3,legs,blue,300,0.6,12.4
1,poliwhirl,water,,regular,s2c3,humanoid,blue,385,1.0,20.0
1,poliwrath,water,fighting,regular,s3c3,humanoid,blue,510,1.3,54.0
1,abra,psychic,,regular,s1c3,upright,brown,310,0.9,19.5
1,kadabra,psychic,,regular,s2c3,upright,brown,400,1.3,56.5
1,alakazam,psychic,,regular,s3c3,humanoid,brown,500,1.5,48.0
1,machop,fighting,,regular,s1c3,upright,gray,305,0.8,19.5
1,machoke,fighting,,regular,s2c3,humanoid,gray,405,1.5,70.5
1,machamp,fighting,,regular,s3c3,humanoid,gray,505,1.6,130.0
1,bellsprout,grass,poison,regular,s1c3,humanoid,green,300,0.7,4.0
1,weepinbell,grass,poison,regular,s2c3,blob,green,390,1.0,6.4
1,victreebel,grass,poison,regular,s3c3,blob,green,490,1.7,15.5
1,tentacool,water,poison,regular,s1c2,tentacles,blue,335,0.9,45.5
1,tentacruel,water,poison,regular,s2c2,tentacles,blue,515,1.6,55.0
1,geodude,rock,ground,regular,s1c3,arms,brown,300,0.4,20.0
1,graveler,rock,ground,regular,s2c3,humanoid,brown,390,1.0,105.0
1,golem,rock,ground,regular,s3c3,humanoid,brown,495,1.4,300.0
1,ponyta,fire,,regular,s1c2,quadruped,yellow,410,1.0,30.0
1,rapidash,fire,,regular,s2c2,quadruped,yellow,500,1.7,95.0
1,slowpoke,water,psychic,regular,s1c2,quadruped,pink,315,1.2,36.0
1,slowbro,water,psychic,regular,s2c2,upright,pink,490,1.6,78.5
1,magnemite,electric,steel,regular,s1c3,arms,gray,325,0.3,6.0
1,magneton,electric,steel,regular,s2c3,heads,gray,465,1.0,60.0
1,farfetchd,normal,flying,regular,s1c2,wings,brown,377,0.8,15.0
1,doduo,normal,flying,regular,s1c2,legs,brown,310,1.4,39.2
1,dodrio,normal,flying,regular,s2c2,legs,brown,470,1.8,85.2
1,seel,water,,regular,s1c2,fish,white,325,1.1,90.0
1,dewgong,water,ice,regular,s2c2,fish,white,475,1.7,120.0
1,grimer,poison,,regular,s1c2,arms,purple,325,0.9,30.0
1,muk,poison,,regular,s2c2,arms,purple,500,1.2,30.0
1,shellder,water,,regular,s1c2,ball,purple,305,0.3,4.0
1,cloyster,water,ice,regular,s2c2,ball,purple,525,1.5,132.5
1,gastly,ghost,poison,regular,s1c3,ball,purple,310,1.3,0.1
1,haunter,ghost,poison,regular,s2c3,arms,purple,405,1.6,0.1
1,gengar,ghost,poison,regular,s3c3,upright,purple,500,1.5,40.5
1,onix,rock,ground,regular,s1c2,squiggle,gray,385,8.8,210.0
1,drowzee,psychic,,regular,s1c2,humanoid,yellow,328,1.0,32.4
1,hypno,psychic,,regular,s2c2,humanoid,yellow,483,1.6,75.6
1,krabby,water,,regular,s1c2,armor,red,325,0.4,6.5
1,kingler,water,,regular,s2c2,armor,red,475,1.3,60.0
1,voltorb,electric,,regular,s1c2,ball,red,330,0.5,10.4
1,electrode,electric,,regular,s2c2,ball,red,490,1.2,66.6
1,exeggcute,grass,psychic,regular,s1c2,heads,pink,325,0.4,2.5
1,exeggutor,grass,psychic,regular,s2c2,legs,yellow,530,2.0,120.0
1,cubone,ground,,regular,s1c2,upright,brown,320,0.4,6.5
1,marowak,ground,,regular,s2c2,upright,brown,425,1.0,45.0
1,hitmonlee,fighting,,regular,s2c2,humanoid,brown,455,1.5,49.8
1,hitmonchan,fighting,,regular,s2c2,humanoid,brown,455,1.4,50.2
1,lickitung,normal,,regular,s1c2,upright,pink,385,1.2,65.5
1,koffing,poison,,regular,s1c2,ball,purple,340,0.6,1.0
1,weezing,poison,,regular,s2c2,heads,purple,490,1.2,9.5
1,rhyhorn,ground,rock,regular,s1c3,quadruped,gray,345,1.0,115.0
1,rhydon,ground,rock,regular,s2c3,upright,gray,485,1.9,120.0
1,chansey,normal,,regular,s2c3,upright,pink,450,1.1,34.6
1,tangela,grass,,regular,s1c2,legs,blue,435,1.0,35.0
1,kangaskhan,normal,,regular,single,upright,brown,490,2.2,80.0
1,horsea,water,,regular,s1c3,blob,blue,295,0.4,8.0
1,seadra,water,,regular,s2c3,blob,blue,440,1.2,25.0
1,goldeen,water,,regular,s1c2,fish,red,320,0.6,15.0
1,seaking,water,,regular,s2c2,fish,red,450,1.3,39.0
1,staryu,water,,regular,s1c2,blob,brown,340,0.8,34.5
1,starmie,water,psychic,regular,s2c2,blob,purple,520,1.1,80.0
1,mr_mime,psychic,fairy,regular,single,humanoid,pink,460,1.3,54.5
1,scyther,bug,flying,regular,s1c2,bug-wings,green,500,1.5,56.0
1,jynx,ice,psychic,regular,s2c2,humanoid,red,455,1.4,40.6
1,electabuzz,electric,,regular,s2c3,upright,yellow,490,1.1,30.0
1,magmar,fire,,regular,s2c3,upright,red,495,1.3,44.5
1,pinsir,bug,,regular,single,humanoid,brown,500,1.5,55.0
1,tauros,normal,,regular,single,quadruped,brown,490,1.4,88.4
1,magikarp,water,,regular,s1c2,fish,red,200,0.9,10.0
1,gyarados,water,flying,regular,s2c2,squiggle,blue,540,6.5,235.0
1,lapras,water,ice,regular,single,fish,blue,535,2.5,220.0
1,ditto,normal,,regular,single,ball,purple,288,0.3,4.0
1,eevee,normal,,regular,s1c2,quadruped,brown,325,0.3,6.5
1,vaporeon,water,,regular,s2c2,quadruped,blue,525,1.0,29.0
1,jolteon,electric,,regular,s2c2,quadruped,yellow,525,0.8,24.5
1,flareon,fire,,regular,s2c2,quadruped,red,525,0.9,25.0
1,porygon,normal,,regular,s1c3,legs,pink,395,0.8,36.5
1,omanyte,rock,water,regular,s1c2,tentacles,blue,355,0.4,7.5
1,omastar,rock,water,regular,s2c2,tentacles,blue,495,1.0,35.0
1,kabuto,rock,water,regular,s1c2,armor,brown,355,0.5,11.5
1,kabutops,rock,water,regular,s2c2,upright,brown,495,1.3,40.5
1,aerodactyl,rock,flying,regular,single,wings,purple,515,1.8,59.0
1,snorlax,normal,,regular,s2c2,humanoid,black,540,2.1,460.0
1,articuno,ice,flying,legendary,single,wings,blue,580,1.7,55.4
1,zapdos,electric,flying,legendary,single,wings,yellow,580,1.6,52.6
1,moltres,fire,flying,legendary,single,wings,yellow,580,2.0,60.0
1,dratini,dragon,,regular,s1c3,squiggle,blue,300,1.8,3.3
1,dragonair,dragon,,regular,s2c3,squiggle,blue,420,4.0,16.5
1,dragonite,dragon,flying,regular,s3c3,upright,brown,600,2.2,210.0
1,mewtwo,psychic,,legendary,single,upright,purple,680,2.0,122.0
1,mew,psychic,,legendary,single,upright,pink,600,0.4,4.0
2,chikorita,grass,,regular,s1c3,quadruped,green,318,0.9,6.4
2,bayleef,grass,,regular,s2c3,quadruped,green,405,1.2,15.8
2,meganium,grass,,regular,s3c3,quadruped,green,525,1.8,100.5
2,cyndaquil,fire,,regular,s1c3,humanoid,yellow,309,0.5,7.9
2,quilava,fire,,regular,s2c3,quadruped,yellow,405,0.9,19.0
2,typhlosion,fire,,regular,s3c3,quadruped,yellow,534,1.7,79.5
2,totodile,water,,regular,s1c3,upright,blue,314,0.6,9.5
2,croconaw,water,,regular,s2c3,upright,blue,405,1.1,25.0
2,feraligatr,water,,regular,s3c3,upright,blue,530,2.3,88.8
2,sentret,normal,,regular,s1c2,quadruped,brown,215,0.8,6.0
2,furret,normal,,regular,s2c2,quadruped,brown,415,1.8,32.5
2,hoothoot,normal,flying,regular,s1c2,wings,brown,262,0.7,21.2
2,noctowl,normal,flying,regular,s2c2,wings,brown,452,1.6,40.8
2,ledyba,bug,flying,regular,s1c2,wings,red,265,1.0,10.8
2,ledian,bug,flying,regular,s2c2,wings,red,390,1.4,35.6
2,spinarak,bug,poison,regular,s1c2,armor,green,250,0.5,8.5
2,ariados,bug,poison,regular,s2c2,armor,red,400,1.1,33.5
2,crobat,poison,flying,regular,s3c3,bug-wings,purple,535,1.8,75.0
2,chinchou,water,electric,regular,s1c2,fish,blue,330,0.5,12.0
2,lanturn,water,electric,regular,s2c2,fish,blue,460,1.2,22.5
2,pichu,electric,,regular,s1c3,quadruped,yellow,205,0.3,2.0
2,cleffa,fairy,,regular,s1c3,upright,pink,218,0.3,3.0
2,igglybuff,normal,fairy,regular,s1c3,humanoid,pink,210,0.3,1.0
2,togepi,fairy,,regular,s1c3,humanoid,white,245,0.3,1.5
2,togetic,fairy,flying,regular,s2c3,humanoid,white,405,0.6,3.2
2,natu,psychic,flying,regular,s1c2,wings,green,320,0.2,2.0
2,xatu,psychic,flying,regular,s2c2,wings,green,470,1.5,15.0
2,mareep,electric,,regular,s1c3,quadruped,white,280,0.6,7.8
2,flaaffy,electric,,regular,s2c3,upright,pink,365,0.8,13.3
2,ampharos,electric,,regular,s3c3,upright,yellow,510,1.4,61.5
2,bellossom,grass,,regular,s3c3,humanoid,green,490,0.4,5.8
2,marill,water,fairy,regular,s2c3,upright,blue,250,0.4,8.5
2,azumarill,water,fairy,regular,s3c3,upright,blue,420,0.8,28.5
2,sudowoodo,rock,,regular,s2c2,humanoid,brown,410,1.2,38.0
2,politoed,water,,regular,s3c3,humanoid,green,500,1.1,33.9
2,hoppip,grass,flying,regular,s1c3,upright,pink,250,0.4,0.5
2,skiploom,grass,flying,regular,s2c3,upright,green,340,0.6,1.0
2,jumpluff,grass,flying,regular,s3c3,upright,blue,460,0.8,3.0
2,aipom,normal,,regular,s1c2,upright,purple,360,0.8,11.5
2,sunkern,grass,,regular,s1c2,ball,yellow,180,0.3,1.8
2,sunflora,grass,,regular,s2c2,humanoid,yellow,425,0.8,8.5
2,yanma,bug,flying,regular,s1c2,bug-wings,red,390,1.2,38.0
2,wooper,water,ground,regular,s1c2,legs,blue,210,0.4,8.5
2,quagsire,water,ground,regular,s2c2,upright,blue,430,1.4,75.0
2,espeon,psychic,,regular,s2c2,quadruped,purple,525,0.9,26.5
2,umbreon,dark,,regular,s2c2,quadruped,black,525,1.0,27.0
2,murkrow,dark,flying,regular,s1c2,wings,black,405,0.5,2.1
2,slowking,water,psychic,regular,s2c2,upright,pink,490,2.0,79.5
2,misdreavus,ghost,,regular,s1c2,ball,gray,435,0.7,1.0
2,unown,psychic,,regular,single,ball,black,336,0.5,5.0
2,wobbuffet,psychic,,regular,s2c2,blob,blue,405,1.3,28.5
2,girafarig,normal,psychic,regular,s1c2,quadruped,yellow,455,1.5,41.5
2,pineco,bug,,regular,s1c2,ball,gray,290,0.6,7.2
2,forretress,bug,steel,regular,s2c2,ball,purple,465,1.2,125.8
2,dunsparce,normal,,regular,s1c2,squiggle,yellow,415,1.5,14.0
2,gligar,ground,flying,regular,s1c2,wings,purple,430,1.1,64.8
2,steelix,steel,ground,regular,s2c2,squiggle,gray,510,9.2,400.0
2,snubbull,fairy,,regular,s1c2,humanoid,pink,300,0.6,7.8
2,granbull,fairy,,regular,s2c2,upright,purple,450,1.4,48.7
2,qwilfish,water,poison,regular,s1c2,fish,gray,440,0.5,3.9
2,scizor,bug,steel,regular,s2c2,bug-wings,red,500,1.8,118.0
2,shuckle,bug,rock,regular,single,armor,yellow,505,0.6,20.5
2,heracross,bug,fighting,regular,single,humanoid,blue,500,1.5,54.0
2,sneasel,dark,ice,regular,s1c2,upright,black,430,0.9,28.0
2,teddiursa,normal,,regular,s1c3,upright,brown,330,0.6,8.8
2,ursaring,normal,,regular,s2c3,upright,brown,500,1.8,125.8
2,slugma,fire,,regular,s1c2,squiggle,red,250,0.7,35.0
2,magcargo,fire,rock,regular,s2c2,squiggle,red,430,0.8,55.0
2,swinub,ice,ground,regular,s1c3,quadruped,brown,250,0.4,6.5
2,piloswine,ice,ground,regular,s2c3,quadruped,brown,450,1.1,55.8
2,corsola,water,rock,regular,s1c2,armor,pink,410,0.6,5.0
2,remoraid,water,,regular,s1c2,fish,gray,300,0.6,12.0
2,octillery,water,,regular,s2c2,tentacles,red,480,0.9,28.5
2,delibird,ice,flying,regular,single,wings,red,330,0.9,16.0
2,mantine,water,flying,regular,s2c2,wings,purple,485,2.1,220.0
2,skarmory,steel,flying,regular,single,wings,gray,465,1.7,50.5
2,houndour,dark,fire,regular,s1c2,quadruped,black,330,0.6,10.8
2,houndoom,dark,fire,regular,s2c2,quadruped,black,500,1.4,35.0
2,kingdra,water,dragon,regular,s3c3,blob,blue,540,1.8,152.0
2,phanpy,ground,,regular,s1c2,quadruped,blue,330,0.5,33.5
2,donphan,ground,,regular,s2c2,quadruped,gray,500,1.1,120.0
2,porygon2,normal,,regular,s2c3,legs,red,515,0.6,32.5
2,stantler,normal,,regular,s1c2,quadruped,brown,465,1.4,71.2
2,smeargle,normal,,regular,single,upright,white,250,1.2,58.0
2,tyrogue,fighting,,regular,s1c2,humanoid,purple,210,0.7,21.0
2,hitmontop,fighting,,regular,s2c2,upright,brown,455,1.4,48.0
2,smoochum,ice,psychic,regular,s1c2,humanoid,pink,305,0.4,6.0
2,elekid,electric,,regular,s1c3,humanoid,yellow,360,0.6,23.5
2,magby,fire,,regular,s1c3,upright,red,365,0.7,21.4
2,miltank,normal,,regular,single,upright,pink,490,1.2,75.5
2,blissey,normal,,regular,s3c3,humanoid,pink,540,1.5,46.8
2,raikou,electric,,legendary,single,quadruped,yellow,580,1.9,178.0
2,entei,fire,,legendary,single,quadruped,brown,580,2.1,198.0
2,suicune,water,,legendary,single,quadruped,blue,580,2.0,187.0
2,larvitar,rock,ground,regular,s1c3,upright,green,300,0.6,72.0
2,pupitar,rock,ground,regular,s2c3,squiggle,gray,410,1.2,152.0
2,tyranitar,rock,dark,regular,s3c3,upright,green,600,2.0,202.0
2,lugia,psychic,flying,legendary,single,wings,white,680,5.2,216.0
2,ho_oh,fire,flying,legendary,single,wings,red,680,3.8,199.0
2,celebi,psychic,grass,legendary,single,humanoid,green,600,0.6,5.0
3,treecko,grass,,regular,s1c3,upright,green,310,0.5,5.0
3,grovyle,grass,,regular,s2c3,upright,green,405,0.9,21.6
3,sceptile,grass,,regular,s3c3,upright,green,530,1.7,52.2
3,torchic,fire,,regular,s1c3,legs,red,310,0.4,2.5
3,combusken,fire,fighting,regular,s2c3,upright,red,405,0.9,19.5
3,blaziken,fire,fighting,regular,s3c3,upright,red,530,1.9,52.0
3,mudkip,water,,regular,s1c3,quadruped,blue,310,0.4,7.6
3,marshtomp,water,ground,regular,s2c3,upright,blue,405,0.7,28.0
3,swampert,water,ground,regular,s3c3,upright,blue,535,1.5,81.9
3,poochyena,dark,,regular,s1c2,quadruped,gray,220,0.5,13.6
3,mightyena,dark,,regular,s2c2,quadruped,gray,420,1.0,37.0
3,zigzagoon,normal,,regular,s1c3,quadruped,brown,240,0.4,17.5
3,linoone,normal,,regular,s2c3,quadruped,white,420,0.5,32.5
3,wurmple,bug,,regular,s1c3,armor,red,195,0.3,3.6
3,silcoon,bug,,regular,s2c3,ball,white,205,0.6,10.0
3,beautifly,bug,flying,regular,s3c3,bug-wings,yellow,395,1.0,28.4
3,cascoon,bug,,regular,s2c3,ball,purple,205,0.7,11.5
3,dustox,bug,poison,regular,s3c3,bug-wings,green,385,1.2,31.6
3,lotad,water,grass,regular,s1c3,armor,green,220,0.5,2.6
3,lombre,water,grass,regular,s2c3,humanoid,green,340,1.2,32.5
3,ludicolo,water,grass,regular,s3c3,humanoid,green,480,1.5,55.0
3,seedot,grass,,regular,s1c3,legs,brown,220,0.5,4.0
3,nuzleaf,grass,dark,regular,s2c3,humanoid,brown,340,1.0,28.0
3,shiftry,grass,dark,regular,s3c3,humanoid,brown,480,1.3,59.6
3,taillow,normal,flying,regular,s1c2,wings,blue,270,0.3,2.3
3,swellow,normal,flying,regular,s2c2,wings,blue,455,0.7,19.8
3,wingull,water,flying,regular,s1c2,wings,white,270,0.6,9.5
3,pelipper,water,flying,regular,s2c2,wings,yellow,440,1.2,28.0
3,ralts,psychic,fairy,regular,s1c3,humanoid,white,198,0.4,6.6
3,kirlia,psychic,fairy,regular,s2c3,humanoid,white,278,0.8,20.2
3,gardevoir,psychic,fairy,regular,s3c3,humanoid,white,518,1.6,48.4
3,surskit,bug,water,regular,s1c2,armor,blue,269,0.5,1.7
3,masquerain,bug,flying,regular,s2c2,bug-wings,blue,454,0.8,3.6
3,shroomish,grass,,regular,s1c2,legs,brown,295,0.4,4.5
3,breloom,grass,fighting,regular,s2c2,upright,green,460,1.2,39.2
3,slakoth,normal,,regular,s1c3,quadruped,brown,280,0.8,24.0
3,vigoroth,normal,,regular,s2c3,upright,white,440,1.4,46.5
3,slaking,normal,,regular,s3c3,humanoid,brown,670,2.0,130.5
3,nincada,bug,ground,regular,s1c2,armor,gray,266,0.5,5.5
3,ninjask,bug,flying,regular,s2c2,bug-wings,yellow,456,0.8,12.0
3,shedinja,bug,ghost,regular,s2c2,blob,brown,236,0.8,1.2
3,whismur,normal,,regular,s1c3,upright,pink,240,0.6,16.3
3,loudred,normal,,regular,s2c3,upright,blue,360,1.0,40.5
3,exploud,normal,,regular,s3c3,upright,blue,490,1.5,84.0
3,makuhita,fighting,,regular,s1c2,humanoid,yellow,237,1.0,86.4
3,hariyama,fighting,,regular,s2c2,humanoid,brown,474,2.3,253.8
3,azurill,normal,fairy,regular,s1c3,legs,blue,190,0.2,2.0
3,nosepass,rock,,regular,s1c2,humanoid,gray,375,1.0,97.0
3,skitty,normal,,regular,s1c2,quadruped,pink,260,0.6,11.0
3,delcatty,normal,,regular,s2c2,quadruped,purple,400,1.1,32.6
3,sableye,dark,ghost,regular,single,humanoid,purple,380,0.5,11.0
3,mawile,steel,fairy,regular,single,humanoid,black,380,0.6,11.5
3,aron,steel,rock,regular,s1c3,quadruped,gray,330,0.4,60.0
3,lairon,steel,rock,regular,s2c3,quadruped,gray,430,0.9,120.0
3,aggron,steel,rock,regular,s3c3,upright,gray,530,2.1,360.0
3,meditite,fighting,psychic,regular,s1c2,humanoid,blue,280,0.6,11.2
3,medicham,fighting,psychic,regular,s2c2,humanoid,red,410,1.3,31.5
3,electrike,electric,,regular,s1c2,quadruped,green,295,0.6,15.2
3,manectric,electric,,regular,s2c2,quadruped,yellow,475,1.5,40.2
3,plusle,electric,,regular,single,upright,yellow,405,0.4,4.2
3,minun,electric,,regular,single,upright,yellow,405,0.4,4.2
3,volbeat,bug,,regular,single,upright,gray,430,0.7,17.7
3,illumise,bug,,regular,single,humanoid,purple,430,0.6,17.7
3,roselia,grass,poison,regular,s2c3,humanoid,green,400,0.3,2.0
3,gulpin,poison,,regular,s1c2,arms,green,302,0.4,10.3
3,swalot,poison,,regular,s2c2,arms,purple,467,1.7,80.0
3,carvanha,water,dark,regular,s1c2,fish,red,305,0.8,20.8
3,sharpedo,water,dark,regular,s2c2,fish,blue,460,1.8,88.8
3,wailmer,water,,regular,s1c2,fish,blue,400,2.0,130.0
3,wailord,water,,regular,s2c2,fish,blue,500,14.5,398.0
3,numel,fire,ground,regular,s1c2,quadruped,yellow,305,0.7,24.0
3,camerupt,fire,ground,regular,s2c2,quadruped,red,460,1.9,220.0
3,torkoal,fire,,regular,single,quadruped,brown,470,0.5,80.4
3,spoink,psychic,,regular,s1c2,arms,black,330,0.7,30.6
3,grumpig,psychic,,regular,s2c2,upright,purple,470,0.9,71.5
3,spinda,normal,,regular,single,upright,brown,360,1.1,5.0
3,trapinch,ground,,regular,s1c3,armor,brown,290,0.7,15.0
3,vibrava,ground,dragon,regular,s2c3,bug-wings,green,340,1.1,15.3
3,flygon,ground,dragon,regular,s3c3,wings,green,520,2.0,82.0
3,cacnea,grass,,regular,s1c2,humanoid,green,335,0.4,51.3
3,cacturne,grass,dark,regular,s2c2,humanoid,green,475,1.3,77.4
3,swablu,normal,flying,regular,s1c2,wings,blue,310,0.4,1.2
3,altaria,dragon,flying,regular,s2c2,wings,blue,490,1.1,20.6
3,zangoose,normal,,regular,single,upright,white,458,1.3,40.3
3,seviper,poison,,regular,single,squiggle,black,458,2.7,52.5
3,lunatone,rock,psychic,regular,single,ball,yellow,460,1.0,168.0
3,solrock,rock,psychic,regular,single,ball,red,460,1.2,154.0
3,barboach,water,ground,regular,s1c2,fish,gray,288,0.4,1.9
3,whiscash,water,ground,regular,s2c2,fish,blue,468,0.9,23.6
3,corphish,water,,regular,s1c2,armor,red,308,0.6,11.5
3,crawdaunt,water,dark,regular,s2c2,armor,red,468,1.1,32.8
3,baltoy,ground,psychic,regular,s1c2,arms,brown,300,0.5,21.5
3,claydol,ground,psychic,regular,s2c2,arms,black,500,1.5,108.0
3,lileep,rock,grass,regular,s1c2,blob,purple,355,1.0,23.8
3,cradily,rock,grass,regular,s2c2,blob,green,495,1.5,60.4
3,anorith,rock,bug,regular,s1c2,armor,gray,355,0.7,12.5
3,armaldo,rock,bug,regular,s2c2,upright,gray,495,1.5,68.2
3,feebas,water,,regular,s1c2,fish,brown,200,0.6,7.4
3,milotic,water,,regular,s2c2,squiggle,pink,540,6.2,162.0
3,castform,normal,,regular,single,ball,gray,420,0.3,0.8
3,kecleon,normal,,regular,single,upright,green,440,1.0,22.0
3,shuppet,ghost,,regular,s1c2,ball,black,295,0.6,2.3
3,banette,ghost,,regular,s2c2,upright,black,455,1.1,12.5
3,duskull,ghost,,regular,s1c3,arms,black,295,0.8,15.0
3,dusclops,ghost,,regular,s2c3,humanoid,black,455,1.6,30.6
3,tropius,grass,flying,regular,single,quadruped,green,460,2.0,100.0
3,chimecho,psychic,,regular,s2c2,arms,blue,455,0.6,1.0
3,absol,dark,,regular,single,quadruped,white,465,1.2,47.0
3,wynaut,psychic,,regular,s1c2,upright,blue,260,0.6,14.0
3,snorunt,ice,,regular,s1c2,humanoid,gray,300,0.7,16.8
3,glalie,ice,,regular,s2c2,ball,gray,480,1.5,256.5
3,spheal,ice,water,regular,s1c3,fish,blue,290,0.8,39.5
3,sealeo,ice,water,regular,s2c3,fish,blue,410,1.1,87.6
3,walrein,ice,water,regular,s3c3,quadruped,blue,530,1.4,150.6
3,clamperl,water,,regular,s1c2,ball,blue,345,0.4,52.5
3,huntail,water,,regular,s2c2,squiggle,blue,485,1.7,27.0
3,gorebyss,water,,regular,s2c2,squiggle,pink,485,1.8,22.6
